Word	Romanised Word	Pronunciation	Variant Number	Comments
'আসাম	'AsA2m	a x a m	0	
'মৌচাক'খন	'mo4cA2k'Kn	m ou s a k  K O n	0	
*গভমেণ্ট*	*gBme2n`+t`*	g O B  O m E n t	0	
*গভমেণ্টৰ*	*gBme2n`+t`r*	g O  B O  m E n t O r	0	
*পৰহি*	*prhI2*	p o r o h i	0	
*মাহীজনী*	*mA2hi2jni2*	m a . h i . z O . n i	0	
-তে	te2	t E	0	
-সমালোচকে	-smA2lo2cke2	x O . m a . l U . s O . k E	0	
অ	a	O	0	
অ'	a'	o	0	
অ'ই	a'I	o i	0	
অ'কে	a'ke2	o . k e	0	
অ-	a-	O	0	
অঁ	aM	O ~	0	
অকণমান	akn`mA2n	O . k O  n  . m a n	0	
অকণো	akn`o2	O . k O . n U	0	
অকনমান	aknmA2n	O . k O n. m a n	0	
অকল	akl	O . k O l	0	
অকলশৰীয়া	aklSri2yA2	O . k O l. x o . r i . j a	0	
অকলে	akle2	O . k O . l E	0	
অকলেই	akle2I	O . k O . l e i	0	
অক্টোবৰ	ak+t`o2br	O k . t u . b O r	0	
অক্টোবৰৰ	ak+t`o2brr	O k . t u . b O . r O r	0	
অজয়	ajy	O . z O j	0	
অঞ্চলত	aJ+clt	O n . s O . l O t	0	
অতি	atI2	o . t i	0	
অধিক	aDI2k	o . D i k	0	
অধ্যয়নে	aD+Yyne2	O D . j O .j O. n E	0	
অনলাইন	anlA2In	O n . l a i n	0	
অনলাইনত	anlA2Int	O n. l a i . n O t	0	
অনশন	anSn	O n. n O . x O n	0	
অনশনত	anSnt	O n. n O . x O . n O t	0	
অনা	anA2	O . n a	0	
অনিলে	anI2le2	O . n i . l E	0	
অনিলৰ	anI2lr	O . n i . l O r	0	
অনিয়ন্ত্ৰিত	anI2yn+t+rI2t	O . n i . j O n . t r i t	0	
অনুগ্ৰহ	anU2g+rh	o . n u . g r O h	0	
অনুচিত	anU2cI2t	o . n u . s i t	0	
অনুষ্ঠান	anU2s`+T`A2n	o . n us . T a n	0	
অনুৰাধাত	anU2rA2DA2t	O . n u . r a . D a t	0	
অনেক	ane2k	O . n E k	0	
অন্তত	an+tt	O n . t O t	0	
অন্বেষণেই	an+be2s`n`e2I	O n . n E . x O . n e i	0	
অন্য	an+Y	O n. j O	0	
অন্যতম	an+Ytm	O n . j O . t O m	0	
অপেক্ষা	ape2k+s`A2	O . p E k . K a	0	
অপৰাধ	aprA2D	O . p O . r a D	0	
অফাৰ	aPA2r	O . P a r	0	
অফিচত	aPI2ct	o . P i . s O t	0	
অফিছ	aPI2C	o . P i s	0	
অফিছত	aPI2Ct	o . P i . s O t	0	
অফিছতে	aPI2Cte2	o . P i . s O . t E	0	
অফিছলে	aPI2Cle2	o . P i . s O . l E	0	
অফিছৰ	aPI2Cr	o . P i . s O r	0	
অফিছৰপৰা	aPI2CrprA2	o . P i . s O r . p O . r a	0	
অবৈধ	abe4D	o . b oi D O/ o . b oi D 	0	
অব্যাহত	ab+YA2ht	O b . j a . h O t	0	
অভিনন্দন	aBI2nn+dn	o . B i . n O n . d O n	0	
অভিনয়ৰ	aBI2nyr	o . B i . n O . j O r	0	
অমল	aml	O . m O l	0	
অমুক-তমুক	amU2k-tmU2k	o . m u . k  # t o . m u k	0	
অম্লান	am+lA2n	O m . l a n	0	
