ada	ada
angin	aŋin
atu	atu
banar-banar	banarbanar
batangkar	bataŋkar
buka	buka
dapat	dapat
dari	dari
datang	dataŋ
diurang	diuraŋ
ia	ia
iatah	iatah
inda	inda
jadi	dʒadi
jubah	dʒubah
jubahnya	dʒubahɲa
kadia	kadia
kuat	kuat
kuat-kuat	kuatkuat
lagi	lagi
makin	makin
mamigang	mamigaŋ
mangalah	maŋalah
manggalkan	maŋgalkan
maniup	maniup
matahari	matahari
memancar	mamantʃar
ngakun	ŋakun
paksa	paksa
paling	paliŋ
pangambara	paŋambara
pasal	pasal
pulang	pulaŋ
pun	pun
sakuat-kuatnya	sakuatkuatɲa
sama	sama
sampai	sampaj
satuju	satudʒu
si	si
siapa	siapa
tah	tah
tahan	tahan
tapi	tapi
tarus	tarus
tia	tia
udah	udah
urang	uraŋ
utara	utara
yang	jaŋ
﻿masa	masa
