Orthographic form	IPA	Gloss
asaŋ	àsáŋ	sweet corn
bvù	bvù	grind
chì	t͡ʃì	in-law
dem	dɛ́m	play
ndzàm	ndzàm	axe
ten	tɛ́n	push
əkə̀’	ɘ̀kɘ̀ʔ	face (n)
əfwof	ɘ̀fwɔ́f	wind
gùf	gùf	be pregnant
əghàm	ɘ̀ɰàm	mat
tyin	tyín	cut
kəkɨ	kɘ̀kɨ́	chair
jòm	d͡ʒɔ̀m	dream (n)
kəvu’	kɘ̀vúʔ	mushroom
kəku	kɘ̀kú	offering
əlò	ɘ̀lò	bridge
mo	mó	lake
ənòn	ɘ̀nɔ̀n	herd
nyò’	ɲɔ̀ʔ	write
ŋàŋ	ŋàŋ	energy
bò	bò	two
pfè	pfè	cook (v)
sam	sám	migrate
əshɨ	ɘ̀ʃɨ	eye
əto	ɘ̀tó	hut
tsòŋ	tsɔ̀ŋ	thief
ngù’	ŋgùʔ	stone
kəghʉ	kɘ̀ɰʉ	foot
əvi	ɘ̀ví	tadpole
wùwì	wùwì	woman
yen	jɛ́n	see
kəzòŋ	kɘ̀zɔ̀ŋ	thanks
əzhʉ	ɘ̀ʒʉ́	time
wì’	wìʔ	person
chì	t͡ʃì	in-law
əkə̀’	ɘ̀kɘ̀ʔ	face (n)
əghàm	ɘ̀ɰàm	mat
jòm	d͡ʒɔ̀m	dream (n)
kəvu’	kɘ̀vúʔ	mushroom
nyò’	ɲɔ̀ʔ	write
əshɨ	ɘ̀ʃɨ	eye
yen	jɛ́n	see
à	à	FOC
a	á	REL
a	á	on
ban	báɪ̯n	shine
bòŋsə̀	bɔ̀ŋsɘ̀	instead
byɨmə	bʲɨ́mɘ́	accept
chò	t͡ʃòː	pass.PROG
chòò	 t͡ʃòː	pass.PROG
chòò	t͡ʃòː	pass.PROG
chòò	t͡ʃǒ	pass.PROG
chòò	t͡ʃǒː	pass.PROG
chwìchwì	t͡ʃɥìt͡ʃɥì	sun.C1
chwìchwì ə	t͡ʃɥìt͡ʃɥǐː	sun.C1 SM.C1
dàlə	dàlɘ́	gown.C1
fwomtə̀ 	fʷɔ́mtɘ̀	fold
kwì	kɥì	above
kwì ə	kɥìː	above SM.C3
kyé	kʲé	allow
kyikə	kʲíkɘ́	this
kə	kɘ́	it
kəɲʉ́ ə̀	kɘ̀ɲʉ̄ː	thing.C7 of
la	lá	COMP
la      	lá	COMP
lì	lì	so
lo	ló	EMPH
lɨ̀m ə̀	lɨ̀mɘ̀	hot CONJ
lɨ̀mtə	lɨ̀mtɘ́	be.hot
lɨ̀mtə ə	lɨ̀mtɘ́ː	be.hot of
lɨ̀mtə ə́	lɨ̀mtɘ́ː	be.hot of
mbì	mbȉ	first
mò’	mɔ̀ʔ	wear
mu	mû	while
mu à	mwâ	so FOC
mə̀	mɘ̀	then
nanto	 nàntô	much
nayì	nájì	DEM
ndə̀	ndɘ̀	who
nè	nè	cause
no’ə̀	nôː	really
ntaŋmə	ǹtáŋmɘ́	quarrel.PROG
sətsèn	sɘ́t͡sɛ̀ɪ̯n	until
sə̀	sɘ̀	PRS
too	tóː	be.strong.PROG
too	↓tóː	be.strong.PROG
tsu’	t͡súʔ	remove
tsu’	t͡sùʔ	remove
vì	vȉ	come
və̀we	vwě	they
wen	wɛ́ː	his
wen	wɛ́ɪ̯n	him
wén	wɛ́ɪ̯n	his
wenə̀	wɛ̂ː	with
wì’	ɥìʔ	person.C1
wùjè’	wùd͡ʒèʔ	traveler.C1
wutsen	wú↓t͡sɛ́ɪ̯n	another person
wʉmə	↓ɰʉ́mɘ́	agree
yi	jí	DEM
yí	jí	DEM
yì	jȉ	3SG.C3
zàŋsə̀	zàŋsɘ̀	hurry
zìtə̀	zìtɘ̀	start
əfwof ə	ɘ̀fɔ́f↓ɘ́	wind.C3 of
əfwof ə	ɘ̀fʷɔ́f↓ɘ́	wind.C3 of
ɣo’	ɰɔ́ʔ	be.big
ɣo’tə̀	ɰɔ́ʔtɘ̀	be.big
əwen	wɛ̏ɪ̯n	body.C3
ə̀	ɘ̀	CONJ
ɣə̀	ɰ	he
ɣə̀	ɰɘ̀	he
ɣə̀	ɰɘ́	he
ɣə̀ ə	ɰɘ̌	he SM.C3
ɡə̀ ə	ɡɘ̀ː	part DIR
ɡə̀ ə̀	ɡɘ̀ː	part DIR
